iter	Passed	Remaining
0	0	874
1	1	750
2	2	701
3	2	677
4	3	662
5	3	650
6	4	640
7	5	633
8	5	630
9	6	625
10	6	621
11	7	625
12	8	676
13	9	699
14	10	697
15	11	695
16	11	688
17	12	680
18	13	673
19	13	667
20	14	667
21	14	666
22	15	662
23	16	657
24	16	653
25	17	649
26	17	645
27	18	642
28	19	638
29	19	635
30	20	632
31	20	630
32	21	627
33	22	625
34	22	623
35	23	642
36	24	646
37	25	649
38	26	648
39	26	645
40	27	643
41	28	640
42	28	639
43	29	639
44	30	637
45	30	635
46	31	632
47	31	630
48	32	628
49	32	625
50	33	624
51	34	622
52	34	619
53	35	618
54	35	616
55	36	614
56	37	612
57	37	611
58	38	621
59	39	624
60	40	625
61	41	624
62	41	623
63	42	622
64	43	621
65	43	620
66	44	618
67	45	617
68	45	615
69	46	613
70	46	612
71	47	610
72	47	608
73	48	607
74	49	605
75	49	604
76	50	602
77	50	600
78	51	599
79	51	597
80	52	597
81	53	599
82	54	599
83	55	600
84	55	599
85	56	597
86	56	596
87	57	596
88	58	595
89	58	594
90	59	592
91	59	591
92	60	590
93	61	589
94	61	587
95	62	586
96	62	585
97	63	583
98	64	582
99	64	581
100	65	580
101	65	578
102	66	577
103	66	576
104	67	575
105	68	578
106	69	579
107	70	579
108	70	579
109	71	580
110	72	580
111	73	579
112	73	577
113	74	576
114	74	575
115	75	574
116	75	572
117	76	571
118	76	569
119	77	568
120	78	567
121	78	565
122	79	564
123	79	563
124	80	562
125	80	561
126	81	559
127	82	558
128	83	562
129	84	562
130	84	562
131	85	561
132	86	560
133	86	560
134	87	559
135	87	558
136	88	557
137	89	556
138	89	555
139	90	554
140	90	553
141	91	550
142	91	549
143	92	548
144	92	547
145	93	546
146	94	545
147	94	544
148	95	543
149	95	543
150	96	542
151	97	541
152	98	542
153	99	544
154	99	543
155	100	543
156	101	542
157	101	541
158	102	540
159	102	539
160	103	537
161	103	537
162	104	536
163	104	535
164	105	534
165	106	533
166	106	532
167	107	531
168	107	530
169	108	529
170	109	529
171	109	528
172	110	527
173	110	526
174	111	525
175	112	524
176	113	526
177	114	526
178	114	526
179	115	525
180	115	524
181	116	523
182	117	523
183	117	522
184	118	522
185	119	521
186	119	520
187	120	519
188	120	519
189	121	518
190	122	517
191	122	516
192	123	515
193	123	514
194	124	513
195	125	513
196	125	512
197	126	511
198	126	511
199	127	511
200	128	512
201	130	514
202	130	514
203	131	513
204	132	513
205	132	512
206	133	511
207	134	510
208	134	509
209	135	508
210	135	507
211	136	507
212	137	506
213	137	505
214	138	504
215	138	503
216	139	502
217	139	502
218	140	501
219	141	500
220	141	499
221	142	499
222	143	501
223	145	502
224	145	502
225	146	502
226	147	501
227	147	500
228	148	499
229	148	498
230	149	497
231	150	497
232	150	496
233	151	495
234	151	494
235	152	493
236	153	492
237	153	491
238	154	491
239	154	490
240	155	489
241	155	488
242	156	487
243	157	487
244	158	489
245	159	489
246	161	491
247	161	490
248	162	489
249	162	488
250	163	487
251	164	486
252	164	486
253	165	485
254	165	484
255	166	483
256	166	482
257	167	481
258	168	481
259	168	480
260	169	479
261	170	478
262	170	478
263	171	477
264	172	478
265	173	479
266	174	479
267	175	479
268	176	480
269	177	479
270	178	479
271	178	479
272	179	478
273	180	477
274	180	477
275	181	476
276	182	475
277	182	475
278	183	474
279	184	473
280	184	472
281	185	471
282	185	471
283	186	471
284	188	472
285	189	471
286	189	471
287	190	470
288	190	469
289	191	468
290	192	467
291	192	466
292	193	466
293	193	465
294	194	464
295	194	463
296	195	462
297	196	461
298	196	461
299	197	460
300	197	459
301	198	458
302	199	457
303	199	457
304	200	456
305	200	455
306	201	454
307	202	455
308	203	455
309	204	455
310	205	454
311	205	453
312	206	453
313	207	452
314	207	451
315	208	450
316	208	449
317	209	449
318	209	448
319	210	447
320	211	446
321	211	445
322	212	444
323	212	443
324	213	443
325	214	442
326	214	442
327	215	441
328	215	440
329	216	439
330	217	440
331	218	440
332	219	439
333	220	438
334	220	438
335	221	437
336	221	436
337	222	435
338	223	435
339	223	434
340	224	433
341	224	432
342	225	431
343	225	430
344	226	430
345	227	429
346	227	428
347	228	428
348	229	427
349	229	426
350	230	425
351	230	424
352	231	424
353	232	424
354	233	424
355	234	424
356	235	423
357	235	422
358	236	421
359	236	420
360	237	420
361	237	419
362	238	418
363	239	417
364	239	416
365	240	416
366	240	415
367	241	414
368	242	414
369	242	413
370	243	412
371	243	411
372	244	410
373	245	410
374	245	409
375	246	409
376	247	409
377	248	409
378	249	409
379	250	408
380	250	407
381	251	406
382	252	406
383	252	405
384	253	404
385	253	403
386	254	402
387	254	402
388	255	401
389	256	400
390	256	400
391	257	399
392	257	398
393	258	397
394	259	396
395	259	396
